Brand,SKU,Paint Name,Paint Class,Size,Count
Citadel,22-04,Fire Dragon Bright,Layer,12 ml,1
Citadel,22-05,Evil Sunz Scarlet,Layer,12 ml,1
Citadel,22-06,Wild Rider Red,Layer,12 ml,1
Citadel,22-07,Wazdakka Red,Layer,12 ml,1
Citadel,22-08,Squig Orange,Layer,12 ml,1
Citadel,22-09,Xereus Purple,Layer,12 ml,2
Citadel,22-10,Genestealer Purple,Layer,12 ml,2
Citadel,22-11,Warpfiend Grey,Layer,12 ml,1
Citadel,22-12,Slaanesh Grey,Layer,12 ml,1
Citadel,22-13,Alaitoc Blue,Layer,12 ml,1
Citadel,22-14,Hoeth Blue,Layer,12 ml,1
Citadel,22-16,Calgar Blue,Layer,12 ml,1
Citadel,22-17,Teclis Blue,Layer,12 ml,1
Citadel,22-18,Lothern Blue,Layer,12 ml,1
Citadel,22-19,Sotek Green,Layer,12 ml,1
Citadel,22-20,Temple Guard Blue,Layer,12 ml,1
Citadel,22-21,Kabalite Green,Layer,12 ml,1
Citadel,22-22,Sybarite Green,Layer,12 ml,1
Citadel,22-23,Warpstone Glow,Layer,12 ml,1
Citadel,22-24,Moot Green,Layer,12 ml,1
Citadel,22-27,Loren Forest,Layer,12 ml,1
Citadel,22-28,Straken Green,Layer,12 ml,1
Citadel,22-29,Nurgling Green,Layer,12 ml,2
Citadel,22-30,Elysian Green,Layer,12 ml,1
Citadel,22-31,Ogryn Camo,Layer,12 ml,2
Citadel,22-32,Ushabti Bone,Layer,12 ml,2
Citadel,22-33,Screaming Skull,Layer,12 ml,1
Citadel,22-34,Tallarn Sand,Layer,12 ml,1
Citadel,22-35,Karak Stone,Layer,12 ml,1
Citadel,22-36,Cadian Fleshtone,Layer,12 ml,1
Citadel,22-37,Kislev Flesh,Layer,12 ml,1
Citadel,22-38,Bestigor Flesh,Layer,12 ml,1
Citadel,22-39,Ungor Flesh,Layer,12 ml,1
Citadel,22-40,Skrag Brown,Layer,12 ml,1
Citadel,22-41,Deathclaw Brown,Layer,12 ml,1
Citadel,22-42,Tau Light Ochre,Layer,12 ml,1
Citadel,22-44,Zamesi Desert,Layer,12 ml,1
Citadel,22-45,Doombull Brown,Layer,12 ml,1
Citadel,22-46,Tuskgor Fur,Layer,12 ml,1
Citadel,22-47,Gorthor Brown,Layer,12 ml,1
Citadel,22-48,Baneblade Brown,Layer,12 ml,3
Citadel,22-49,Dawnstone,Layer,12 ml,2
Citadel,22-50,Administratum Grey,Layer,12 ml,1
Citadel,22-51,Eshin Grey,Layer,12 ml,1
Citadel,22-52,Dark Reaper,Layer,12 ml,1
Citadel,22-53,Thunderhawk Blue,Layer,12 ml,2
Citadel,22-54,Skavenblight Dinge,Layer,12 ml,1
Citadel,22-55,Stormvermin Fur,Layer,12 ml,1
Citadel,22-56,Ulthuan Grey,Layer,12 ml,1
Citadel,22-57,White Scar,Layer,12 ml,2
Citadel,22-58,Pallid Wych Flesh,Layer,12 ml,1
Citadel,22-59,Ironbreaker,Layer,12 ml,1
Citadel,22-60,Runefang Steel,Layer,12 ml,2
Citadel,22-61,Gehenna's Gold,Layer,12 ml,1
Citadel,22-62,Auric Armour Gold,Layer,12 ml,1
Citadel,22-63,Hashut Copper,Layer,12 ml,1
Citadel,22-64,Sycorax Bronze,Layer,12 ml,1
Citadel,22-65,Brass Scorpion,Layer,12 ml,1
Citadel,22-68,Fenrisian Grey,Layer,12 ml,1
Citadel,22-69,Pink Horror,Layer,12 ml,1
Citadel,22-70,Emperor's Children,Layer,12 ml,1
Citadel,22-71,Liberator Gold,Layer,12 ml,1
Citadel,22-75,Stormhost Silver,Layer,12 ml,2
Citadel,22-76,Ahriman Blue,Layer,12 ml,2
Citadel,22-77,Deepkin Flesh,Layer,12 ml,1
Citadel,22-78,Gauss Blaster Green,Layer,12 ml,1
Citadel,22-79,Baharroth Blue,Layer,12 ml,1
Citadel,22-80,Dorn Yellow,Layer,12 ml,1
Citadel,22-83,Krieg Khaki,Layer,12 ml,1
Citadel,22-84,Blue Horror,Layer,12 ml,1
Citadel,22-85,Lugganath Orange,Layer,12 ml,1
Citadel,22-94,Canoptek Alloy,Layer,12 ml,2
Citadel,23-04,Praxeti White,Dry,12 ml,1
Citadel,23-05,Etherium Blue,Dry,12 ml,1
Citadel,23-08,Underhive Ash,Dry,12 ml,1
Citadel,23-10,Tyrant Skull,Dry,12 ml,1
Citadel,23-11,Terminatus Stone,Dry,12 ml,1
Citadel,23-13,Necron Compound,Dry,12 ml,2
Citadel,23-18,Hoeth Blue,Dry,12 ml,1
Citadel,23-22,Wrack White,Dry,12 ml,1
Citadel,23-24,Niblet Green,Dry,12 ml,1
Citadel,23-25,Nurgling Green,Dry,12 ml,1
Citadel,23-26,Golgfag Brown,Dry,12 ml,1
Citadel,23-27,Verminlord Hide,Dry,12 ml,1
Citadel,23-28,Sylvaneth Bark,Dry,12 ml,1
Citadel,23-29,Dawnstone,Dry,12 ml,1
Citadel,27-02,Lahmian Medium,Technical,24 ml,2
Citadel,27-05,Blood for the Blood God,Technical,12 ml,1
Citadel,27-06,Nihilakh Oxide,Technical,12 ml,2
Citadel,27-09,Nurgle's Rot,Technical,12 ml,1
Citadel,27-12,Spiritstone Red,Technical,12 ml,1
Citadel,27-13,Soulstone Blue,Technical,12 ml,1
Citadel,27-22,Agrellan Earth,Technical,24 ml,1
Citadel,27-23,Agrellan Badland,Technical,24 ml,1
Citadel,27-33,Contrast Medium,Technical,24 ml,2
Citadel,27-35,Tesseract Glow,Technical,18 ml,2
Citadel,28-05,Macragge Blue,Air,24 ml,1
Citadel,28-10,Zandri Dust,Air,24 ml,1
Citadel,28-11,Mournfang Brown,Air,24 ml,1
Citadel,28-13,Dryad Bark,Air,24 ml,1
Citadel,28-15,Abaddon Black,Air,24 ml,1
Citadel,28-16,Leadbelcher,Air,24 ml,2
Citadel,28-32,Ogryn Camo,Air,24 ml,1
Citadel,28-42,Baneblade Brown,Air,24 ml,1
Citadel,28-44,Administratum Grey,Air,24 ml,1
Citadel,28-45,Ulthuan Grey,Air,24 ml,1
Citadel,28-46,White Scar,Air,24 ml,1
Citadel,28-56,Calth Blue (clear),Air,24 ml,1
Citadel,28-62,Sigismund Yellow (clear),Air,24 ml,1
Citadel,28-66,Corvus Black,Air,24 ml,1
Citadel,29-10,Iyanden Yellow,Contrast,18 ml,1
Citadel,29-11,Gryph-hound Orange,Contrast,18 ml,1
Citadel,29-12,Blood Angels Red,Contrast,18 ml,1
Citadel,29-13,Flesh Tearers Red,Contrast,18 ml,1
Citadel,29-14,Volupus Pink,Contrast,18 ml,1
Citadel,29-15,Shyish Purple,Contrast,18 ml,1
Citadel,29-16,Magos Purple,Contrast,18 ml,1
Citadel,29-17,Leviadon Blue,Contrast,18 ml,1
Citadel,29-18,Ultramarines Blue,Contrast,18 ml,2
Citadel,29-19,Akhelian Green,Contrast,18 ml,1
Citadel,29-20,Dark Angels Green,Contrast,18 ml,1
Citadel,29-21,Nazdreg Yellow,Contrast,18 ml,1
Citadel,29-22,Ork Flesh,Contrast,18 ml,1
Citadel,29-23,Creed Camo,Contrast,18 ml,1
Citadel,29-24,Militarum Green,Contrast,18 ml,1
Citadel,29-25,Aggaros Dunes,Contrast,18 ml,1
Citadel,29-26,Skeleton Horde,Contrast,18 ml,1
Citadel,29-27,Snakebite Leather,Contrast,18 ml,1
Citadel,29-28,Gore-grunta Fur,Contrast,18 ml,1
Citadel,29-29,Cygor Brown,Contrast,18 ml,1
Citadel,29-30,Wyldwood,Contrast,18 ml,1
Citadel,29-31,Fyreslayer Flesh,Contrast,18 ml,1
Citadel,29-32,Guilliman Flesh,Contrast,18 ml,1
Citadel,29-34,Apothecary White,Contrast,18 ml,1
Citadel,29-35,Gryph-Charger Grey,Contrast,18 ml,1
Citadel,29-36,Space Wolves Grey,Contrast,18 ml,1
Citadel,29-37,Basilicanum Grey,Contrast,18 ml,1
Citadel,29-38,Black Templar,Contrast,18 ml,1
Citadel,29-39,Talassar Blue,Contrast,18 ml,1
Citadel,29-40,Warp Lightning,Contrast,18 ml,1
Citadel,29-41,Aethermatic Blue,Contrast,18 ml,1
Citadel,29-42,Plaguebearer Flesh,Contrast,18 ml,1
Citadel,29-43,Terradon Turquoise,Contrast,18 ml,1
Citadel,62-01,Corax White Spray,Spray Paints,400 ml,1
Citadel,62-02,Chaos Black Spray,Spray Paints,400 ml,1
Citadel,62-16,Macragge Blue Spray,Spray Paints,400 ml,1
Citadel,62-32,Death Guard Green Spray,Spray Paints,400 ml,1
Citadel,62-33,Wraithbone,Spray Paints,400 ml,1
Citadel,62-34,Grey Seer,Spray Paints,400 ml,1
Citadel Classic,,Agrax Earthshade Gloss,Shade,12 ml,1
Citadel Classic,24-13,Carroburg Crimson,Shade,24 ml,1
Citadel Classic,24-14,Nuln Oil,Shade,24 ml,3
Citadel Classic,24-15,Agrax Earthshade,Shade,24 ml,3
Citadel Classic,24-16,Druchii Violet,Shade,24 ml,1
Citadel Classic,24-17,Drakenhof Nightshade,Shade,24 ml,1
Citadel Classic,24-18,Casandora Yellow,Shade,24 ml,1
Citadel Classic,24-19,Biel-Tan Green,Shade,24 ml,1
Citadel Classic,24-20,Fuegan Orange,Shade,24 ml,1
Citadel Classic,24-21,Athonian Camoshade,Shade,24 ml,2
Citadel Classic,24-22,Coelia Greenshade,Shade,24 ml,1
Citadel Classic,24-23,Seraphim Sepia,Shade,24 ml,2
Citadel Classic,24-24,Reikland Fleshshade,Shade,24 ml,1
Citadel Classic,24-28,Cryptek Armourshade Gloss,Shade,18 ml,2
Citadel Classic,27-20,Hexwraith Flame,Technical,24 ml,1
Citadel Classic,27-21,Nighthaunt Gloom,Technical,12 ml,2
Citadel Classic,9114,Reikland Fleshshade,Shade,12 ml,2
Citadel Classic,9115,Agrax Earthshade,Shade,12 ml,3
Citadel Classic,9141,Armageddon Dust,Texture,12 ml,2
